# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
8.394989979959920356e-01,1.071448180192602351e+00,-3.901267507085865588e-02
8.434869739478958461e-01,1.072778498281171000e+00,-3.925228459177602242e-02
8.474749498997996566e-01,1.074127548785344555e+00,-3.948819419681529053e-02
8.514629258517034671e-01,1.075495500495035728e+00,-3.972028532592807026e-02
8.554509018036072776e-01,1.076882522741139381e+00,-3.994843846351628369e-02
8.594388777555110881e-01,1.078288785415377538e+00,-4.017253316117018469e-02
8.634268537074148986e-01,1.079714458992502735e+00,-4.039244806052286196e-02
8.674148296593187091e-01,1.081159714554942086e+00,-4.060806091612879226e-02
8.714028056112225196e-01,1.082624723820019952e+00,-4.081924861827387896e-02
8.753907815631263301e-01,1.084109659169820716e+00,-4.102588721560783414e-02
8.793787575150301405e-01,1.085614693683818022e+00,-4.122785193748736143e-02
8.833667334669339510e-01,1.087140001174376147e+00,-4.142501721591293484e-02
8.873547094188377615e-01,1.088685756225226786e+00,-4.161725670692998508e-02
8.913426853707415720e-01,1.090252134232999159e+00,-4.180444331135257235e-02
8.953306613226453825e-01,1.091839311451971106e+00,-4.198644919467690861e-02
8.993186372745491930e-01,1.093447465042069799e+00,-4.216314580601410178e-02
9.033066132264530035e-01,1.095076773120292613e+00,-4.233440389589071540e-02
9.072945891783568140e-01,1.096727414815626966e+00,-4.250009353273949408e-02
9.112825651302606245e-01,1.098399570327562635e+00,-4.266008411788747845e-02
9.152705410821644350e-01,1.100093420988327075e+00,-4.281424439885758715e-02
9.192585170340682454e-01,1.101809149328952353e+00,-4.296244248076874772e-02
9.232464929859720559e-01,1.103546939149251171e+00,-4.310454583561439124e-02
9.272344689378758664e-01,1.105306975591831886e+00,-4.324042130918762106e-02
9.312224448897796769e-01,1.107089445220249102e+00,-4.336993512540488621e-02
9.352104208416834874e-01,1.108894536101409534e+00,-4.349295288776883206e-02
9.391983967935872979e-01,1.110722437892306402e+00,-4.360933957768716590e-02
9.431863727454911084e-01,1.112573341931222259e+00,-4.371895954935882400e-02
9.471743486973948079e-01,1.114447441333478173e+00,-4.382167652091056853e-02
9.511623246492986183e-01,1.116344931091847625e+00,-4.391735356145588798e-02
9.551503006012024288e-01,1.118266008181721283e+00,-4.400585307371902150e-02
9.591382765531062393e-01,1.120210871671142971e+00,-4.408703677185509678e-02
9.631262525050100498e-01,1.122179722835794813e+00,-4.416076565406141380e-02
9.671142284569138603e-01,1.124172765279048303e+00,-4.422689996955839198e-02
9.711022044088176708e-01,1.126190205057146621e+00,-4.428529917948182543e-02
9.750901803607214813e-01,1.128232250809655168e+00,-4.433582191120908483e-02
9.790781563126252918e-01,1.130299113895217422e+00,-4.437832590558909301e-02
9.830661322645291023e-01,1.132391008532742660e+00,-4.441266795653030924e-02
9.870541082164329127e-01,1.134508151948072197e+00,-4.443870384234226839e-02
9.910420841683367232e-01,1.136650764526218715e+00,-4.445628824819349012e-02
9.950300601202405337e-01,1.138819069969226883e+00,-4.446527467899336061e-02
9.990180360721443442e-01,1.141013295459719190e+00,-4.446551536195302717e-02
1.003006012024048044e+00,1.143233671830159226e+00,-4.445686113802307243e-02
1.006993987975951965e+00,1.145480433737866344e+00,-4.443916134133625573e-02
1.010981963927855887e+00,1.147753819845780177e+00,-4.441226366571495582e-02
1.014969939879759586e+00,1.150054073008970779e+00,-4.437601401722068850e-02
1.018957915831663508e+00,1.152381440466837548e+00,-4.433025635163422712e-02
1.022945891783567207e+00,1.154736174040937646e+00,-4.427483249566307316e-02
1.026933867735471129e+00,1.157118530338298479e+00,-4.420958195055022660e-02
1.030921843687374828e+00,1.159528770960087440e+00,-4.413434167666187985e-02
1.034909819639278528e+00,1.161967162715362489e+00,-4.404894585747128055e-02
1.038897795591182449e+00,1.164433977839646639e+00,-4.395322564123705505e-02
1.042885771543086149e+00,1.166929494217904706e+00,-4.384700885848905744e-02
1.046873747494990070e+00,1.169453995611448471e+00,-4.373011971327395164e-02
1.050861723446893770e+00,1.172007771888135430e+00,-4.360237844590523354e-02
