# r (bohr), g(r)
804.807900,0.452145
805.261500,0.450128
805.713300,0.446923
806.166000,0.444121
806.617800,0.440305
807.069600,0.438639
807.521400,0.435407
807.972300,0.433136
808.423200,0.428633
808.874100,0.425772
809.325000,0.423457
809.775000,0.419981
