# q/kF, Re omega_p(q)/ omega_p(0), Im omega_p(q)/ omega_p(0)
5.802805611222445759e-01,9.477192202265602994e-01,-1.292345608860124770e-02
5.842685370741483863e-01,9.469819493413504929e-01,-1.308254965692887302e-02
5.882565130260521968e-01,9.462392691157099911e-01,-1.324221712243615900e-02
5.922444889779560073e-01,9.454911757329005351e-01,-1.340244841206140319e-02
5.962324649298598178e-01,9.447376654753734115e-01,-1.356323340260913619e-02
6.002204408817636283e-01,9.439787347260951700e-01,-1.372456192105113264e-02
6.042084168336674388e-01,9.432143799736666390e-01,-1.388642374512275880e-02
6.081963927855711383e-01,9.424445978136601898e-01,-1.404880860355881868e-02
6.121843687374749488e-01,9.416693849519957027e-01,-1.421170617656634244e-02
6.161723446893787592e-01,9.408887382085442397e-01,-1.437510609623495264e-02
6.201603206412825697e-01,9.401026545194087758e-01,-1.453899794691410931e-02
6.241482965931863802e-01,9.393111309405286491e-01,-1.470337126561414680e-02
6.281362725450901907e-01,9.385141646510049007e-01,-1.486821554245389837e-02
6.321242484969940012e-01,9.377117529558498532e-01,-1.503352022099298420e-02
6.361122244488978117e-01,9.369038932895791261e-01,-1.519927469867657192e-02
6.401002004008016222e-01,9.360905832194670317e-01,-1.536546832719990971e-02
6.440881763527054327e-01,9.352718204490848564e-01,-1.553209041295271035e-02
6.480761523046092432e-01,9.344476028218414720e-01,-1.569913021739325482e-02
6.520641282565130536e-01,9.336179283235537252e-01,-1.586657695737107854e-02
6.560521042084168641e-01,9.327827950873541774e-01,-1.603441980562306593e-02
6.600400801603206746e-01,9.319422013963264417e-01,-1.620264789108207676e-02
6.640280561122244851e-01,9.310961456872089981e-01,-1.637125029925584618e-02
6.680160320641282956e-01,9.302446265555484040e-01,-1.654021607272894087e-02
6.720040080160321061e-01,9.293876427568517062e-01,-1.670953421131387076e-02
6.759919839679359166e-01,9.285251932130075270e-01,-1.687919367262837381e-02
6.799799599198397271e-01,9.276572770144474456e-01,-1.704918337232382355e-02
6.839679358717435376e-01,9.267838934252744520e-01,-1.721949218453537947e-02
6.879559118236473481e-01,9.259050418867574850e-01,-1.739010894216854244e-02
6.919438877755511585e-01,9.250207220214089476e-01,-1.756102243728214357e-02
6.959318637274549690e-01,9.241309336376132277e-01,-1.773222142143855012e-02
6.999198396793587795e-01,9.232356767332773329e-01,-1.790369460597955945e-02
7.039078156312625900e-01,9.223349515007742694e-01,-1.807543066243290711e-02
7.078957915831664005e-01,9.214287583308955476e-01,-1.824741822275174202e-02
7.118837675350702110e-01,9.205170978179245678e-01,-1.841964587971773801e-02
7.158717434869740215e-01,9.195999707635655884e-01,-1.859210218715228249e-02
7.198597194388778320e-01,9.186773781822156204e-01,-1.876477566028343646e-02
7.238476953907816425e-01,9.177493213051493015e-01,-1.893765477596542901e-02
7.278356713426854530e-01,9.168158015858386412e-01,-1.911072797300285286e-02
7.318236472945892634e-01,9.158768207048590959e-01,-1.928398365241218090e-02
7.358116232464930739e-01,9.149323805746454319e-01,-1.945741017764281156e-02
7.397995991983968844e-01,9.139824833445864272e-01,-1.963099587480840111e-02
7.437875751503006949e-01,9.130271314068006960e-01,-1.980472903298954174e-02
7.477755511022045054e-01,9.120663274008820043e-01,-1.997859790435954630e-02
7.517635270541083159e-01,9.111000742197064017e-01,-2.015259070445727871e-02
7.557515030060121264e-01,9.101283750146457185e-01,-2.032669561230750557e-02
7.597394789579159369e-01,9.091512332015738718e-01,-2.050090077065280098e-02
7.637274549098197474e-01,9.081686524663009630e-01,-2.067519428606171342e-02
7.677154308617235579e-01,9.071806367707707652e-01,-2.084956422910893767e-02
7.717034068136273683e-01,9.061871903588826216e-01,-2.102399863447892286e-02
7.756913827655311788e-01,9.051883177624587828e-01,-2.119848550103827986e-02
7.796793587174348783e-01,9.041840238079312808e-01,-2.137301279199450496e-02
7.836673346693386888e-01,9.031743136222784019e-01,-2.154756843489064044e-02
7.876553106212424993e-01,9.021591926396680394e-01,-2.172214032167557249e-02
7.916432865731463098e-01,9.011386666083056607e-01,-2.189671630874525862e-02
7.956312625250501203e-01,9.001127415968759315e-01,-2.207128421690376582e-02
7.996192384769539307e-01,8.990814240016689052e-01,-2.224583183137328682e-02
8.036072144288577412e-01,8.980447205537961386e-01,-2.242034690174514802e-02
8.075951903807615517e-01,8.970026383259026570e-01,-2.259481714185786194e-02
8.115831663326653622e-01,8.959551847401967528e-01,-2.276923022976674524e-02
8.155711422845691727e-01,8.949023675754649298e-01,-2.294357380756431933e-02
8.195591182364729832e-01,8.938441949750342008e-01,-2.311783548123330645e-02
8.235470941883767937e-01,8.927806754546336876e-01,-2.329200282047737616e-02
8.275350701402806042e-01,8.917118179101646280e-01,-2.346606335844973398e-02
8.315230460921844147e-01,8.906376316264958959e-01,-2.364000459158424605e-02
8.355110220440882252e-01,8.895581262852081394e-01,-2.381381397921051093e-02
8.394989979959920356e-01,8.884733119735517270e-01,-2.398747894328182723e-02
8.434869739478958461e-01,8.873831991931943053e-01,-2.416098686800839321e-02
8.474749498997996566e-01,8.862877988691533204e-01,-2.433432509945044134e-02
8.514629258517034671e-01,8.851871223589959925e-01,-2.450748094506543032e-02
